,id,title,categories,date,closed,date_closed,geometries,year
1952,EONET_450,"Russian Federation Floods and Landslides, June 2016",Floods,2016-06-04,True,2016-06-21,"{'type': 'Polygon', 'coordinates': [[[43.46923828125, 42.24005733049491], [43.46923828125, 45.00146177184141], [48.0224609375, 45.00146177184141], [48.0224609375, 42.24005733049491], [43.46923828125, 42.24005733049491]]]}",2016
1953,EONET_423,"Limburg, Belgium Flooding, June 2016",Floods,2016-06-02,True,2016-06-20,"{'type': 'Polygon', 'coordinates': [[[4.70947265625, 50.97170230906506], [4.70947265625, 51.32181154667028], [5.41748046875, 51.32181154667028], [5.41748046875, 50.97170230906506], [4.70947265625, 50.97170230906506]]]}",2016
1954,EONET_420,"Chimney Fire, California",Wildfires,2016-06-01,True,2016-06-08,"{'type': 'Point', 'coordinates': [-118.04083333333, 35.840833333333]}",2016
1955,EONET_422,"Bavaria, Germany Flooding, June 2016",Floods,2016-06-01,True,2016-06-17,"{'type': 'Polygon', 'coordinates': [[[12.6470947265625, 48.08482175483274], [12.6470947265625, 48.59091117075957], [13.525390625, 48.59091117075957], [13.525390625, 48.08482175483274], [12.6470947265625, 48.08482175483274]]]}",2016
1956,EONET_419,"Mule Ridge Fire, Arizona",Wildfires,2016-05-31,True,2016-06-06,"{'type': 'Point', 'coordinates': [-111.21833333333, 31.431388888889]}",2016
1957,EONET_421,"Loriet, France Flooding, June 2016",Floods,2016-05-30,True,2016-06-10,"{'type': 'Polygon', 'coordinates': [[[2.0068359375, 47.44606082748844], [2.0068359375, 49.028635016645424], [4.1650390625, 49.028635016645424], [4.1650390625, 47.44606082748844], [2.0068359375, 47.44606082748844]]]}",2016
1958,EONET_426,"Bert Wildfire, Arizona",Wildfires,2016-05-28,True,2016-07-08,"{'type': 'Point', 'coordinates': [-111.93555555556, 35.551944444444]}",2016
1959,EONET_416,Tropical Storm Bonnie,Severe Storms,2016-05-27,True,2016-06-10,"{'type': 'Point', 'coordinates': [-74.7, 28.5]}",2016
1960,EONET_434,North Sea Phytoplankton Bloom,Water Color,2016-05-26,True,2016-07-29,"{'type': 'Polygon', 'coordinates': [[[-3.3544921875, 53.601754513239534], [-3.3544921875, 59.370813907699805], [8.9111328125, 59.370813907699805], [8.9111328125, 53.601754513239534], [-3.3544921875, 53.601754513239534]]]}",2016
1961,EONET_418,"East Texas Flooding, May-June 2016",Floods,2016-05-25,True,2016-06-05,"{'type': 'Polygon', 'coordinates': [[[-96.5185546875, 28.800577092973192], [-96.5185546875, 31.54781395208696], [-94.11865234375, 31.54781395208696], [-94.11865234375, 28.800577092973192], [-96.5185546875, 28.800577092973192]]]}",2016
1962,EONET_412,"Santa Maria Volcano, Guatemala",Volcanoes,2016-05-22,True,2016-11-15,"{'type': 'Point', 'coordinates': [-91.552, 14.756]}",2016
1963,EONET_406,"North Fire, New Mexico",Wildfires,2016-05-21,True,2016-07-21,"{'type': 'Point', 'coordinates': [-107.42527777778, 33.787777777778]}",2016
1964,EONET_417,"Spur Fire, New Mexico",Wildfires,2016-05-21,True,2016-06-18,"{'type': 'Point', 'coordinates': [-108.79222222222, 33.870277777778]}",2016
1965,EONET_424,"Jack Fire, Arizona",Wildfires,2016-05-21,True,2016-06-30,"{'type': 'Point', 'coordinates': [-111.4, 34.76]}",2016
1966,EONET_415,"Bangladesh Flooding, May 2016",Floods,2016-05-21,True,2016-06-03,"{'type': 'Polygon', 'coordinates': [[[89.43603515625, 21.947311998253628], [89.43603515625, 23.460405928263487], [91.231689453125, 23.460405928263487], [91.231689453125, 21.947311998253628], [89.43603515625, 21.947311998253628]]]}",2016
1967,EONET_414,"Extreme Heat, Northeastern India, May 2016",Temperature Extremes,2016-05-20,True,2016-05-30,"{'type': 'Polygon', 'coordinates': [[[73.154296875, 25.37796512206869], [73.154296875, 30.550133880971792], [80.5859375, 30.550133880971792], [80.5859375, 25.37796512206869], [73.154296875, 25.37796512206869]]]}",2016
1968,EONET_404,"Foss Lake Fire, Minnesota",Wildfires,2016-05-19,True,2016-06-09,"{'type': 'Point', 'coordinates': [-92.083055555556, 47.895277777778]}",2016
1969,EONET_409,"Pivot Rock Fire, Arizona",Wildfires,2016-05-18,True,2016-06-04,"{'type': 'Point', 'coordinates': [-111.4, 34.49]}",2016
1970,EONET_401,Tropical Storm One,Severe Storms,2016-05-18,True,2016-05-24,"{'type': 'Point', 'coordinates': [81.5, 13.9]}",2016
1971,EONET_402,Tropical Storm Roanu,Severe Storms,2016-05-18,True,2016-05-27,"{'type': 'Point', 'coordinates': [81.5, 13.9]}",2016
1972,EONET_413,"Etna Volcano, Italy, May 2016",Volcanoes,2016-05-17,True,2016-06-03,"{'type': 'Point', 'coordinates': [15.004, 37.734]}",2016
1973,EONET_405,"Cowboy Fire, Arizona",Wildfires,2016-05-17,True,2016-06-01,"{'type': 'Point', 'coordinates': [-111.68361111111, 35.046388888889]}",2016
1974,EONET_407,"Juniper Fire, Arizona",Wildfires,2016-05-17,True,2016-07-08,"{'type': 'Point', 'coordinates': [-110.92361111111, 33.923055555556]}",2016
1975,EONET_403,"La Sierra Fire, Arizona",Wildfires,2016-05-16,True,2016-06-01,"{'type': 'Point', 'coordinates': [-111.11388888889, 31.329444444444]}",2016
1976,EONET_400,"Sri Lanka Floods, May 2016",Floods,2016-05-16,True,2016-06-04,"{'type': 'Polygon', 'coordinates': [[[79.68017578125, 6.024959448383872], [79.68017578125, 9.261723317601199], [81.376953125, 9.261723317601199], [81.376953125, 6.024959448383872], [79.68017578125, 6.024959448383872]]]}",2016
1977,EONET_408,"Mormon Fire, Arizona",Wildfires,2016-05-15,True,2016-06-08,"{'type': 'Point', 'coordinates': [-111.53583333333, 34.947222222222]}",2016
1978,EONET_398,"College Peak Fire, Arizona",Wildfires,2016-05-10,True,2016-05-25,"{'type': 'Point', 'coordinates': [-109.42361111111, 31.381666666667]}",2016
1979,EONET_393,"Coyote Fire, Texas",Wildfires,2016-05-07,True,2016-06-02,"{'type': 'Point', 'coordinates': [-104.90333333333, 31.979444444444]}",2016
1980,EONET_392,"Skibo Fire, Minnesota",Wildfires,2016-05-06,True,2016-05-18,"{'type': 'Point', 'coordinates': [-92.096666666667, 47.515]}",2016
